meter_id,site_name,period_from,period_to,consumption,unit,tariff,supplier,account_ref
DE01-M1,DE01-HQ,2024-01-01,2024-01-31,15500.50,kWh,STD,E.ON,ACC-1001
DE01-M1,DE01-HQ,2024-02-01,2024-02-29,14800.00,kWh,STD,E.ON,ACC-1001
DE01-M1,DE01-HQ,2024-03-01,2024-03-31,15100.25,kWh,STD,E.ON,ACC-1001
DE01-M1,DE01-HQ,2024-04-01,2024-04-30,14950.00,kWh,STD,E.ON,ACC-1001
IN03-M2,IN03-FACTORY,2024-01-01,2024-03-31,450.75,MWh,IND,Tata Power,ACC-2002
GB05-M3,GB05-OFFICE,2024-01-15,2024-02-14,8500.00,kWh,BUS,British Gas Business,ACC-3003
GB05-M3,GB05-OFFICE,2024-02-15,2024-03-14,8200.50,kWh,BUS,British Gas Business,ACC-3003
GB05-M3,GB05-OFFICE,2024-03-15,2024-04-14,8100.00,kWh,BUS,British Gas Business,ACC-3003
DE01-M1,DE01-HQ,2023-12-01,2023-12-31,16000.00,kWh,STD,E.ON,ACC-1001
IN03-M2,IN03-FACTORY,2023-10-01,2023-12-31,460.00,MWh,IND,Tata Power,ACC-2002
GB05-M3,GB05-OFFICE,2023-12-15,2024-01-14,8800.00,kWh,BUS,British Gas Business,ACC-3003
US07-M4,US07-WAREHOUSE,2024-01-01,2024-01-31,120.5,therms,COM,PG&E,ACC-4004
US07-M4,US07-WAREHOUSE,2024-02-01,2024-02-28,115.0,therms,COM,PG&E,ACC-4004
US07-M4,US07-WAREHOUSE,2024-03-01,2024-03-31,118.2,therms,COM,PG&E,ACC-4004
US07-M4,US07-WAREHOUSE,2024-04-01,2024-04-30,110.0,therms,COM,PG&E,ACC-4004
DE01-M1,DE01-HQ,2023-11-01,2023-11-30,15200.00,kWh,STD,E.ON,ACC-1001
IN03-M2,IN03-FACTORY,2023-07-01,2023-09-30,475.50,MWh,IND,Tata Power,ACC-2002
GB05-M3,GB05-OFFICE,2023-11-15,2023-12-14,8600.00,kWh,BUS,British Gas Business,ACC-3003
US07-M4,US07-WAREHOUSE,2023-12-01,2023-12-31,125.0,therms,COM,PG&E,ACC-4004
DE01-M1,DE01-HQ,2023-10-01,2023-10-31,14500.00,kWh,STD,E.ON,ACC-1001
